City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Georgetown,MY,79.9,few clouds,5.4112,100.3354,
15,Atuona,PF,78.55,clear sky,-9.8,-139.0333,
18,Vaini,TO,78.76,light rain,-21.2,-175.2,
19,Varadero,CU,79.56,clear sky,23.1536,-81.2514,
22,Kota Bahru,MY,74.57,broken clouds,6.1333,102.2386,
23,Kapaa,US,70.2,overcast clouds,22.0752,-159.319,
24,Harindanga,IN,71.58,overcast clouds,22.0383,88.3214,
28,Marsh Harbour,BS,75.67,clear sky,26.5412,-77.0636,
30,Sao Gabriel Da Cachoeira,BR,74.75,overcast clouds,-0.1303,-67.0892,
32,Isangel,VU,80.94,overcast clouds,-19.55,169.2667,
38,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,
40,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,
42,Brownsville,US,84.31,clear sky,25.9018,-97.4975,
44,Saint-Philippe,RE,78.35,scattered clouds,-21.3585,55.7679,
45,Samarai,PG,81.61,overcast clouds,-10.6167,150.6667,
46,Nata,PA,83.43,broken clouds,8.3333,-80.5167,
48,Hithadhoo,MV,81.16,broken clouds,-0.6,73.0833,
49,Adrar,MR,67.66,broken clouds,20.5022,-10.0711,
53,Port Alfred,ZA,67.95,light rain,-33.5906,26.891,
58,Rikitea,PF,75.99,few clouds,-23.1203,-134.9692,
59,Castro,BR,74.62,scattered clouds,-24.7911,-50.0119,
64,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,
66,Merauke,ID,79.88,light rain,-8.4667,140.3333,
71,Cape Town,ZA,65.12,moderate rain,-33.9258,18.4232,
73,Rincon,US,75.65,overcast clouds,32.296,-81.2354,
75,Yarada,IN,75.52,broken clouds,17.65,83.2667,
76,Kavieng,PG,82.36,moderate rain,-2.5744,150.7967,
77,Poso,ID,79.32,overcast clouds,-1.3959,120.7524,
79,East London,ZA,68.18,light rain,-33.0153,27.9116,
81,Kaeo,NZ,70.32,overcast clouds,-35.1,173.7833,
83,Hilo,US,73.27,light rain,19.7297,-155.09,
84,Saint-Joseph,RE,77.36,few clouds,-21.3667,55.6167,
88,Manono,CD,73.0,few clouds,-7.3,27.4167,
94,Bandundu,CD,72.9,overcast clouds,-3.3167,17.3667,
99,Nisia Floresta,BR,83.21,broken clouds,-6.0911,-35.2086,
100,Carnarvon,AU,69.87,clear sky,-24.8667,113.6333,
101,Salalah,OM,73.49,clear sky,17.0151,54.0924,
102,Mocuba,MZ,80.69,clear sky,-16.8392,36.9856,
103,Buchanan,LR,80.56,broken clouds,5.8808,-10.0467,
106,Huarmey,PE,70.3,overcast clouds,-10.0681,-78.1522,
113,Myrtle Beach,US,74.34,broken clouds,33.6891,-78.8867,
114,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,
116,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,
117,Kunigal,IN,68.43,broken clouds,13.0222,77.0267,
120,Nouadhibou,MR,66.52,clear sky,20.931,-17.0347,
122,Luwuk,ID,78.22,overcast clouds,-0.9516,122.7875,
123,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,
125,Nyimba,ZM,80.11,few clouds,-14.5566,30.8149,
127,Jos,NG,67.95,overcast clouds,9.9167,8.9,
128,Ponta Do Sol,PT,66.83,overcast clouds,32.6667,-17.1,
133,Puerto Escondido,MX,86.41,clear sky,15.85,-97.0667,
134,George Town,MY,79.9,few clouds,5.4112,100.3354,
136,Moron,AR,75.94,broken clouds,-34.6534,-58.6198,
137,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,
140,Reporoa,NZ,66.34,overcast clouds,-38.4333,176.35,
141,Nelson Bay,AU,70.0,overcast clouds,-32.7167,152.15,
142,Kapoeta,SS,84.4,overcast clouds,4.7717,33.5903,
144,Gat,IL,66.4,overcast clouds,31.61,34.7642,
149,Padang,ID,77.22,overcast clouds,-0.9492,100.3543,
150,Karratha,AU,85.23,scattered clouds,-20.7377,116.8463,
155,Cafelandia,BR,84.33,broken clouds,-21.8025,-49.61,
156,Hualmay,PE,70.27,overcast clouds,-11.0964,-77.6139,
160,Tual,ID,82.47,moderate rain,-5.6667,132.75,
163,Kalmunai,LK,77.52,clear sky,7.4167,81.8167,
164,Ippy,CF,78.87,overcast clouds,6.2679,21.2247,
165,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,
168,Chuy,UY,67.82,overcast clouds,-33.6971,-53.4616,
173,Lahij,YE,70.9,clear sky,13.1667,44.5833,
178,Djougou,BJ,78.8,overcast clouds,9.7085,1.666,
180,Aloleng,PH,75.4,broken clouds,16.1307,119.7824,
181,Cap Malheureux,MU,78.48,broken clouds,-19.9842,57.6142,
183,Souillac,MU,78.37,scattered clouds,-20.5167,57.5167,
184,Saint George,US,72.36,clear sky,37.1041,-113.5841,
187,Diamantino,BR,83.05,light rain,-14.4086,-56.4461,
189,Maningrida,AU,82.69,overcast clouds,-12.0667,134.2667,
192,Atambua,ID,73.9,overcast clouds,-9.1061,124.8925,
197,Bubaque,GW,81.66,scattered clouds,11.2833,-15.8333,
198,El Retorno,CO,79.0,overcast clouds,2.3302,-72.6276,
199,Mareeba,AU,76.44,scattered clouds,-17.0,145.4333,
200,Mogadishu,SO,80.01,few clouds,2.0371,45.3438,
201,Wanning,CN,69.12,overcast clouds,18.8003,110.3967,
203,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,
204,Constitucion,CL,67.59,clear sky,-35.3333,-72.4167,
