City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nagato,JP,34.3833,131.2,41.2,63,86,5.35,overcast clouds
1,Rabat,MA,33.9911,-6.8401,54.05,93,4,0.0,clear sky
2,Thompson,CA,55.7435,-97.8558,2.88,92,100,5.86,overcast clouds
3,Nishihara,JP,26.1842,127.7558,63.68,63,75,11.5,broken clouds
4,Belaya Gora,RU,68.5333,146.4167,-42.77,100,76,0.58,broken clouds
5,Norman Wells,CA,65.282,-126.8329,-26.23,91,17,2.86,few clouds
6,Barrow,US,71.2906,-156.7887,14.02,79,90,13.8,overcast clouds
7,Yamada,JP,39.4667,141.95,31.91,73,12,5.28,few clouds
8,Ust-Nera,RU,64.5667,143.2,-41.26,99,84,4.27,broken clouds
9,Sept-Iles,CA,50.2001,-66.3821,22.05,67,14,8.99,few clouds
10,Georgetown,MY,5.4112,100.3354,79.9,78,20,9.22,few clouds
11,Bluff,NZ,-46.6,168.3333,54.81,90,99,10.54,light rain
12,Fortuna,US,40.5982,-124.1573,59.41,100,90,0.0,overcast clouds
13,Esperance,AU,-33.8667,121.9,55.81,89,70,9.48,broken clouds
14,Lasa,IT,46.6166,10.7002,34.54,96,100,2.46,light snow
15,Atuona,PF,-9.8,-139.0333,78.55,74,7,17.16,clear sky
16,Ushuaia,AR,-54.8,-68.3,60.46,33,40,20.71,scattered clouds
17,Khonsa,IN,27.0167,95.5667,58.53,81,98,2.95,overcast clouds
18,Vaini,TO,-21.2,-175.2,78.76,82,35,19.33,light rain
19,Varadero,CU,23.1536,-81.2514,79.56,62,1,14.47,clear sky
20,Aklavik,CA,68.2191,-135.0107,-25.13,87,5,7.49,clear sky
21,Newton,US,42.337,-71.2092,41.16,58,1,1.99,clear sky
22,Kota Bahru,MY,6.1333,102.2386,74.57,80,74,4.41,broken clouds
23,Kapaa,US,22.0752,-159.319,70.2,72,90,1.01,overcast clouds
24,Harindanga,IN,22.0383,88.3214,71.58,94,100,14.58,overcast clouds
25,Gorin,RU,51.1983,136.6669,-7.24,93,91,9.13,overcast clouds
26,Clyde River,CA,70.4692,-68.5914,10.6,86,100,16.04,overcast clouds
27,Chokurdakh,RU,70.6333,147.9167,-40.68,100,59,3.11,broken clouds
28,Marsh Harbour,BS,26.5412,-77.0636,75.67,65,5,8.59,clear sky
